Insert Percentage,libcuckoo,tbb
10,116531506.680628,85567523.149041
30,103404440.52960901,28585603.92699333
50,107402642.038348,17800022.333076
70,85223007.46131034,13326852.843555333
90,75258788.17798533,10945109.848599667
