Insert Percentage,libcuckoo,tbb
10,33920680.91979733,31084288.23837267
30,23469618.282694,19870262.957650002
50,18130360.033418667,14051943.033377
70,14364977.674089333,10245805.827383667
90,12063139.222486667,8289023.984313
